城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
臺南市,將軍區,將軍,21.4,73.0,0.0
高雄市,永安區,永安,25.0,73.0,0.0
臺北市,士林區,科教館,16.8,67.0,3.5
桃園市,大園區,竹圍,13.5,95.0,0.0
南投縣,草屯鎮,草屯,23.7,57.0,0.0
宜蘭縣,壯圍鄉,壯圍,16.3,79.0,0.0
彰化縣,伸港鄉,防潮門,17.1,80.0,0.0
嘉義縣,竹崎鄉,奮起湖,19.7,65.0,0.0
屏東縣,屏東市,屏東,28.4,66.0,-99
南投縣,國姓鄉,國姓,25.7,57.0,0.0
新北市,石碇區,石碇,12.8,95.0,1.0
新北市,金山區,三和,11.0,99.0,60.0
臺中市,豐原區,豐原,19.4,69.0,0.0
臺北市,北投區,大屯山,7.3,100.0,6.0
新北市,五股區,五股,14.8,80.0,3.5
花蓮縣,豐濱鄉,靜浦,18.1,95.0,2.5
臺東縣,太麻里鄉,香蘭,22.4,76.0,0.0
雲林縣,褒忠鄉,褒忠,20.6,71.0,0.0
花蓮縣,卓溪鄉,卓溪,18.8,80.0,0.0
花蓮縣,壽豐鄉,東華,19.4,79.0,1.0
宜蘭縣,大同鄉,太平山,9.2,99.0,0.0
臺東縣,成功鎮,都歷,21.3,77.0,0.0
高雄市,大樹區,溪埔,29.5,57.0,0.0
澎湖縣,西嶼鄉,西嶼,16.7,83.0,0.0
屏東縣,高樹鄉,高樹,28.9,52.0,0.0
嘉義縣,梅山鄉,嘉義梅山,22.7,73.0,0.0
臺東縣,延平鄉,延平,20.2,78.0,0.0
臺中市,和平區,桃山A,11.1,47.0,0.0
苗栗縣,卓蘭鎮,卓蘭,18.7,74.0,1.0
臺南市,楠西區,曾文,27.7,45.0,0.0
屏東縣,崁頂鄉,崁頂,25.2,90.0,0.0
彰化縣,二水鄉,二水,25.1,56.0,0.0
屏東縣,春日鄉,春日,24.6,77.0,0.0
宜蘭縣,頭城鎮,鶯子嶺,8.5,100.0,4.0
高雄市,小港區,鳳鼻頭,23.2,83.0,0.0
臺南市,大內區,大內,24.6,91.0,-99
屏東縣,車城鄉,車城,25.8,63.0,0.0
高雄市,梓官區,蚵仔寮,22.1,84.0,0.0
臺東縣,達仁鄉,勝林山,15.9,100.0,0.0
臺南市,南區,臺南市南區,25.0,56.0,0.0
高雄市,美濃區,美濃,29.6,53.0,0.0
彰化縣,芬園鄉,芬園,23.7,57.0,0.0
新北市,鶯歌區,鶯歌,16.0,80.0,8.0
臺南市,南化區,北寮,27.1,52.0,0.0
臺東縣,海端鄉,紅石,13.4,99.0,0.0
臺南市,仁德區,仁德,24.8,67.0,0.0
桃園市,八德區,八德,15.7,75.0,14.0
臺中市,北屯區,大坑,22.8,-9900.0,0.0
屏東縣,春日鄉,大漢山,13.6,100.0,0.0
嘉義縣,水上鄉,水上,23.3,65.0,0.0
高雄市,鼓山區,鼓山,23.4,78.0,0.0
臺南市,北門區,蘆竹溝,19.5,86.0,0.0
花蓮縣,瑞穗鄉,瑞穗,17.4,96.0,1.5
宜蘭縣,南澳鄉,南澳,17.5,68.0,0.0
花蓮縣,光復鄉,富源,16.5,100.0,1.0
基隆市,暖暖區,暖暖,14.3,92.0,42.0
彰化縣,鹿港鎮,鹿港,19.3,81.0,0.0
臺南市,左鎮區,左鎮,24.7,67.0,0.0
宜蘭縣,員山鄉,內城,16.3,83.0,0.0
花蓮縣,秀林鄉,和平,19.0,71.0,0.0
臺中市,潭子區,潭子,22.4,64.0,0.0
屏東縣,車城鄉,保力,23.3,72.0,0.0
新北市,淡水區,六塊厝,13.4,94.0,19.5
彰化縣,福興鄉,福興,19.9,68.0,0.0
新北市,汐止區,五指山,10.1,100.0,18.5
屏東縣,潮州鎮,潮州,26.2,72.0,-99
花蓮縣,秀林鄉,和平林道,15.2,96.0,0.5
新竹縣,竹東鎮,竹東,15.8,79.0,1.5
南投縣,集集鎮,集集,25.0,59.0,0.0
新北市,淡水區,淡水觀海,13.3,95.0,3.5
花蓮縣,富里鄉,明里,18.8,85.0,0.0
花蓮縣,秀林鄉,富世,19.5,73.0,0.0
桃園市,大溪區,大溪永福,14.8,99.0,7.5
新竹縣,尖石鄉,梅花,12.8,90.0,1.0
桃園市,龜山區,龜山,13.5,81.0,6.0
臺南市,西港區,西港,-99,-9900.0,0.0
高雄市,苓雅區,苓雅,25.4,74.0,0.0
基隆市,安樂區,大武崙,14.5,91.0,12.0
臺東縣,關山鎮,關山,19.6,82.0,0.0
花蓮縣,秀林鄉,天祥,17.4,93.0,0.0
臺中市,神岡區,神岡,19.1,72.0,-99
桃園市,平鎮區,平鎮,13.9,84.0,8.5
宜蘭縣,礁溪鄉,淡江大學蘭陽校園,14.5,100.0,0.0
屏東縣,泰武鄉,舊泰武,20.3,91.0,0.0
花蓮縣,卓溪鄉,清水林道,16.5,92.0,0.0
高雄市,桃源區,復興,27.5,40.0,0.0
桃園市,觀音區,觀音工業區,13.6,96.0,1.0
雲林縣,古坑鄉,草嶺,20.4,76.0,0.0
嘉義縣,義竹鄉,東後寮,22.5,66.0,0.0
新北市,坪林區,坪林,12.9,96.0,0.5
苗栗縣,獅潭鄉,獅潭,15.0,76.0,2.0
雲林縣,大埤鄉,大埤,22.0,66.0,0.0
花蓮縣,玉里鎮,赤柯山,13.4,99.0,0.5
臺中市,和平區,南湖圈谷A,5.1,43.0,0.0
彰化縣,竹塘鄉,竹塘,20.9,67.0,0.0
高雄市,仁武區,仁武,26.3,72.0,0.0
屏東縣,滿州鄉,南仁湖,19.4,94.0,0.0
臺中市,南屯區,南屯,23.2,56.0,0.0
新北市,新店區,屈尺,15.2,87.0,-99
高雄市,阿蓮區,阿蓮,26.9,65.0,-99
屏東縣,牡丹鄉,九棚,21.7,83.0,0.0
屏東縣,新埤鄉,新埤,-99,-9900.0,-99
臺中市,大安區,溫寮,16.5,82.0,0.0
臺中市,后里區,后里,18.7,69.0,0.0
新北市,瑞芳區,鼻頭角,-99,-9900.0,0.5
臺中市,烏日區,烏日,-99,-9900.0,-99
嘉義縣,阿里山鄉,達邦,23.9,47.0,0.0
新北市,石門區,石門,12.3,97.0,8.5
新北市,中和區,中和,15.7,79.0,-99
高雄市,彌陀區,文安,22.7,79.0,0.0
彰化縣,芳苑鄉,芳苑,19.5,100.0,0.0
臺南市,六甲區,王爺宮,25.4,68.0,0.0
新北市,雙溪區,雙溪,16.8,77.0,-99
新北市,瑞芳區,瑞芳,12.6,99.0,28.0
花蓮縣,豐濱鄉,加路蘭山,13.7,100.0,5.5
屏東縣,琉球鄉,琉球嶼,25.4,76.0,-99
臺南市,新市區,新市,26.7,65.0,0.0
屏東縣,滿洲鄉,鼻頭,22.3,81.0,0.0
苗栗縣,通霄鎮,通霄漁港,16.7,79.0,0.0
臺中市,大甲區,松柏,16.3,82.0,0.0
花蓮縣,豐濱鄉,豐濱,17.6,91.0,6.5
高雄市,橋頭區,橋頭,26.6,79.0,0.0
屏東縣,車城鄉,竹坑,25.3,61.0,0.0
臺南市,安南區,四草,21.2,80.0,0.0
屏東縣,麟洛鄉,麟洛,27.3,65.0,0.0
臺南市,善化區,善化,25.3,69.0,-99
基隆市,中正區,八斗子,14.4,92.0,6.5
新北市,三芝區,三芝,12.9,98.0,42.0
高雄市,三民區,三民,25.2,72.0,0.0
新北市,汐止區,汐止,-99,-9900.0,-99
臺南市,佳里區,佳里,24.9,65.0,0.0
彰化縣,花壇鄉,花壇,22.6,66.0,0.0
南投縣,仁愛鄉,梅峰,14.9,63.0,0.0
屏東縣,滿洲鄉,興海,22.8,76.0,0.0
屏東縣,恆春鎮,龍磐,22.5,84.0,0.0
雲林縣,口湖鄉,箔子寮,19.1,79.0,0.0
新北市,萬里區,大坪,11.0,100.0,87.0
臺中市,龍井區,臺中電廠,17.4,77.0,0.0
高雄市,前鎮區,前鎮,23.5,76.0,0.0
宜蘭縣,羅東鎮,羅東,18.2,74.0,0.0
臺東縣,大武鄉,加津林,23.1,78.0,0.0
高雄市,杉林區,月眉,30.6,49.0,0.0
南投縣,仁愛鄉,昆陽,9.1,52.0,0.0
臺中市,大安區,大安,17.7,80.0,-99
新北市,烏來區,福山植物園,13.5,100.0,0.5
金門縣,金寧鄉,金寧,13.3,86.0,0.0
臺中市,大肚區,大肚,18.4,66.0,0.0
嘉義縣,阿里山鄉,新美,26.1,49.0,0.0
雲林縣,北港鎮,北港,21.2,66.0,0.0
新竹市,香山區,香山濕地,14.9,86.0,1.0
屏東縣,瑪家鄉,瑪家,23.8,81.0,0.0
高雄市,六龜區,六龜,27.6,59.0,-99
臺東縣,長濱鄉,長濱,18.3,89.0,0.0
臺東縣,金峰鄉,金峰嘉蘭,21.7,76.0,0.0
高雄市,湖內區,湖內,25.5,67.0,-99
新北市,深坑區,深坑,13.7,95.0,0.5
雲林縣,崙背鄉,崙背,22.4,62.0,0.0
新北市,萬里區,野柳,13.8,93.0,1.0
屏東縣,牡丹鄉,牡丹池山,18.6,96.0,0.0
南投縣,名間鄉,名間,24.5,57.0,0.0
嘉義縣,大埔鄉,馬頭山,27.2,55.0,0.0
臺中市,和平區,雪山東峰A,9.9,30.0,0.0
彰化縣,埔心鄉,埔心,22.0,74.0,0.0
宜蘭縣,大同鄉,玉蘭,12.9,100.0,5.5
新竹市,東區,新竹市東區,14.8,81.0,2.0
屏東縣,林邊鄉,林邊,25.2,76.0,0.0
臺南市,安南區,城西,20.3,81.0,0.0
苗栗縣,後龍鎮,後龍,16.3,80.0,0.5
花蓮縣,吉安鄉,吉安光華,19.3,76.0,0.0
臺東縣,達仁鄉,南田,23.2,81.0,0.0
南投縣,信義鄉,神木村,22.2,58.0,0.0
花蓮縣,富里鄉,東里,18.8,84.0,0.0
彰化縣,二林鎮,二林,19.3,73.0,0.0
高雄市,大寮區,大寮,25.8,69.0,-99
臺東縣,太麻里鄉,歷坵,18.6,93.0,0.0
臺東縣,蘭嶼鄉,蘭嶼高中,23.0,88.0,0.0
桃園市,桃園區,桃園,15.6,77.0,2.5
高雄市,林園區,林園,26.1,73.0,0.0
宜蘭縣,南澳鄉,樟樹山,15.9,95.0,0.0
臺北市,士林區,社子,17.5,78.0,2.5
桃園市,龍潭區,龍潭,14.4,78.0,10.5
雲林縣,水林鄉,蔦松,21.7,67.0,0.0
屏東縣,恆春鎮,貓鼻頭,25.2,74.0,0.0
花蓮縣,壽豐鄉,水璉,17.4,87.0,1.0
新竹縣,關西鎮,關西,16.2,75.0,4.0
苗栗縣,南庄鄉,南庄,15.2,79.0,2.5
臺南市,歸仁區,媽廟,26.2,72.0,0.0
雲林縣,元長鄉,元長,21.4,67.0,0.0
臺南市,後壁區,後壁,23.8,62.0,0.0
新北市,新莊區,新莊,16.7,73.0,-99
臺南市,山上區,山上,24.4,94.0,-99
臺中市,大甲區,大甲,18.7,67.0,0.0
南投縣,仁愛鄉,廬山,19.4,54.0,0.0
屏東縣,萬巒鄉,赤山,27.5,63.0,0.0
苗栗縣,竹南鎮,竹南,16.2,78.0,1.0
金門縣,烏坵鄉,烏坵,11.2,88.0,0.0
臺南市,將軍區,鯤鯓國小,20.1,82.0,0.0
南投縣,南投市,南投,23.8,58.0,-99
臺北市,內湖區,內湖,15.9,94.0,1.5
臺中市,太平區,中竹林,21.0,64.0,0.0
臺南市,安南區,安南,23.2,81.0,0.0
嘉義縣,民雄鄉,民雄,22.9,63.0,0.0
臺北市,松山區,松山,15.8,70.0,1.0
高雄市,甲仙區,甲仙,28.1,64.0,0.0
宜蘭縣,頭城鎮,坪林石牌,13.2,100.0,0.0
新北市,瑞芳區,水湳洞,14.2,93.0,1.0
臺東縣,池上鄉,池上,19.1,81.0,0.0
新北市,金山區,金山,13.1,99.0,11.0
新北市,石門區,富貴角,11.5,99.0,49.5
花蓮縣,壽豐鄉,鯉魚潭,17.0,95.0,1.0
臺南市,玉井區,玉井,27.7,65.0,0.0
臺北市,北投區,石牌,17.6,71.0,-99
臺中市,和平區,烏石坑,18.1,77.0,0.0
桃園市,復興區,復興,13.9,82.0,0.0
苗栗縣,大湖鄉,大湖,17.1,73.0,1.5
花蓮縣,秀林鄉,和中,18.4,71.0,0.0
南投縣,仁愛鄉,仁愛,21.8,49.0,0.0
基隆市,中正區,基隆嶼,12.8,100.0,7.5
臺中市,和平區,梨山,15.3,53.0,0.0
宜蘭縣,三星鄉,三星,15.6,94.0,0.0
彰化縣,埔鹽鄉,埔鹽,20.4,70.0,0.0
臺中市,東勢區,東勢,19.4,71.0,0.0
新北市,林口區,林口,12.6,93.0,5.0
花蓮縣,鳳林鎮,鳳林,18.7,99.0,0.0
屏東縣,佳冬鄉,佳冬,23.4,85.0,0.0
雲林縣,莿桐鄉,莿桐,22.1,60.0,0.0
南投縣,埔里鎮,埔里,26.0,51.0,0.0
臺東縣,太麻里鄉,大溪山,19.1,91.0,0.0
臺南市,鹽水區,鹽水,23.5,64.0,0.0
基隆市,七堵區,七堵,12.6,-9900.0,27.0
新北市,貢寮區,澳底,14.1,96.0,14.5
屏東縣,九如鄉,九如,29.3,69.0,0.0
高雄市,鳳山區,鳳山,27.2,70.0,-99
臺東縣,鹿野鄉,瑞和,19.8,79.0,0.0
花蓮縣,玉里鎮,德武,17.8,100.0,1.5
花蓮縣,瑞穗鄉,舞鶴,16.8,100.0,1.0
高雄市,茂林區,茂林蝶谷,27.9,50.0,0.0
花蓮縣,富里鄉,富里,19.0,86.0,0.0
屏東縣,獅子鄉,丹路,22.6,74.0,0.0
雲林縣,林內鄉,林內,23.8,60.0,0.0
屏東縣,牡丹鄉,旭海,20.5,87.0,0.0
高雄市,彌陀區,彌陀,24.4,77.0,0.0
屏東縣,牡丹鄉,高士,19.2,93.0,0.0
南投縣,仁愛鄉,合歡山,6.5,70.0,0.0
宜蘭縣,五結鄉,五結,16.6,79.0,0.0
宜蘭縣,南澳鄉,東澳,15.1,92.0,5.5
臺南市,北門區,北門,20.8,75.0,0.0
苗栗縣,苑裡鎮,苑裡,17.4,99.0,-99
雲林縣,虎尾鎮,虎尾,22.6,63.0,0.0
嘉義縣,溪口鄉,溪口,22.3,64.0,0.0
新竹縣,寶山鄉,寶山,15.6,83.0,1.5
屏東縣,東港鎮,東港,23.7,82.0,0.0
苗栗縣,西湖鄉,西湖,15.6,82.0,-99
彰化縣,埤頭鄉,埤頭,21.7,68.0,-99
新北市,雙溪區,泰平,12.2,100.0,12.5
花蓮縣,壽豐鄉,蕃薯寮,16.1,100.0,5.5
新竹市,北區,海天一線,14.5,90.0,0.0
宜蘭縣,大同鄉,白嶺,10.1,100.0,5.0
南投縣,信義鄉,信義,24.5,62.0,0.0
宜蘭縣,大同鄉,土場,16.5,83.0,0.0
新北市,土城區,土城,16.2,82.0,-99
彰化縣,線西鄉,線西,18.0,86.0,-99
臺東縣,海端鄉,下馬,18.4,83.0,0.0
嘉義縣,中埔鄉,中埔,21.1,79.0,0.0
桃園市,觀音區,新興坑尾,12.7,97.0,0.0
屏東縣,枋寮鄉,枋寮,23.8,88.0,0.0
宜蘭縣,大同鄉,鴛鴦湖,9.7,100.0,0.5
高雄市,大社區,大社,26.7,75.0,0.0
苗栗縣,頭份市,頭份,17.0,75.0,3.0
高雄市,左營區,左營,23.0,83.0,0.0
苗栗縣,竹南鎮,龍鳳,16.1,82.0,0.5
臺北市,士林區,天母,16.2,68.0,4.0
臺南市,七股區,七股,21.0,77.0,0.0
雲林縣,四湖鄉,四湖,21.1,68.0,0.0
嘉義縣,朴子市,朴子,22.1,67.0,0.0
臺東縣,蘭嶼鄉,蘭嶼燈塔,20.6,93.0,0.5
新竹縣,新豐鄉,外湖,13.5,95.0,0.0
嘉義縣,東石鄉,東石,20.7,72.0,0.0
高雄市,新興區,新興,24.3,69.0,0.0
苗栗縣,後龍鎮,高鐵苗栗,16.8,95.0,0.0
嘉義縣,阿里山鄉,茶山,26.3,50.0,0.0
高雄市,林園區,汕尾,23.7,80.0,0.0
新北市,烏來區,桶後,13.8,92.0,2.0
臺東縣,太麻里鄉,金崙,20.5,85.0,0.0
新竹縣,新豐鄉,新豐,13.5,93.0,1.0
宜蘭縣,員山鄉,員山,17.9,72.0,0.0
嘉義縣,竹崎鄉,竹崎,22.7,74.0,0.0
新北市,貢寮區,三貂角,14.1,100.0,3.0
臺東縣,長濱鄉,石寧山,18.9,90.0,0.5
臺南市,新營區,新營,23.9,64.0,0.0
花蓮縣,鳳林鎮,萬榮,18.1,99.0,0.5
高雄市,旗山區,旗山,28.5,61.0,0.0
高雄市,茂林區,萬山,27.2,55.0,0.0
彰化縣,社頭鄉,社頭,25.2,68.0,-99
屏東縣,恆春鎮,後壁湖,23.9,72.0,0.0
花蓮縣,卓溪鄉,瑞穗林道,12.5,100.0,4.0
雲林縣,二崙鄉,二崙,21.1,67.0,0.0
花蓮縣,萬榮鄉,西林,17.7,87.0,0.0
臺中市,新社區,新社,20.8,71.0,0.0
宜蘭縣,大同鄉,多加屯,9.9,53.0,0.0
嘉義縣,大埔鄉,表湖,25.7,53.0,0.0
桃園市,蘆竹區,蘆竹,13.5,91.0,2.0
南投縣,水里鄉,水里,24.0,65.0,0.0
苗栗縣,後龍鎮,海埔,15.3,88.0,1.5
嘉義縣,阿里山鄉,里佳,19.4,61.0,0.0
屏東縣,枋寮鄉,下寮,23.7,83.0,0.0
臺北市,文山區,文山,14.1,90.0,-99
臺東縣,成功鎮,水試所成功,21.5,72.0,0.0
臺東縣,太麻里鄉,金崙山,15.3,100.0,0.0
高雄市,甲仙區,小林,28.1,55.0,0.0
臺東縣,東河鄉,東河,21.3,78.0,0.0
屏東縣,南州鄉,南州,25.1,82.0,-99
花蓮縣,玉里鎮,安通山,16.1,100.0,0.0
彰化縣,永靖鄉,永靖,23.2,57.0,0.0
苗栗縣,通霄鎮,通霄,17.8,69.0,0.5
桃園市,新屋區,中大臨海站,13.6,97.0,0.5
新竹縣,橫山鄉,橫山,14.8,83.0,5.5
雲林縣,西螺鎮,西螺,22.4,60.0,0.0
花蓮縣,新城鄉,新城,19.3,85.0,0.0
新北市,八里區,八里,14.0,93.0,-99
嘉義縣,番路鄉,番路,20.8,83.0,0.0
高雄市,小港區,鳳森,26.0,65.0,0.0
屏東縣,滿州鄉,檳榔,20.9,85.0,0.0
苗栗縣,泰安鄉,馬都安,13.4,95.0,2.0
高雄市,梓官區,梓官,-99,-9900.0,-99
花蓮縣,秀林鄉,清水斷崖,19.5,77.0,0.0
臺東縣,卑南鄉,知本,17.8,91.0,0.0
花蓮縣,鳳林鎮,鳳林山,14.3,100.0,2.5
宜蘭縣,員山鄉,雙連埤,14.1,99.0,0.0
苗栗縣,苗栗市,苗栗,17.3,77.0,1.0
屏東縣,獅子鄉,內獅,24.1,94.0,0.0
彰化縣,溪湖鎮,溪湖,22.0,79.0,0.0
嘉義縣,布袋鎮,好美里,20.6,76.0,0.0
宜蘭縣,頭城鎮,北關,16.1,79.0,0.0
金門縣,金沙鎮,金沙,12.5,80.0,3.0
宜蘭縣,大同鄉,南山,10.4,100.0,0.0
屏東縣,恆春鎮,墾丁,21.9,84.0,0.0
臺南市,安定區,安定,24.6,71.0,-99
花蓮縣,卓溪鄉,佳心,14.5,99.0,0.0
南投縣,仁愛鄉,萬大林道,19.8,61.0,0.0
南投縣,鹿谷鄉,鳳凰,20.0,89.0,0.0
臺南市,白河區,關子嶺,21.2,83.0,0.0
臺東縣,大武鄉,山豬窟,19.0,100.0,0.0
苗栗縣,三灣鄉,大河,16.4,73.0,4.5
花蓮縣,秀林鄉,水源,14.1,100.0,3.5
彰化縣,員林市,員林,23.9,54.0,0.0
雲林縣,虎尾鎮,高鐵雲林,22.1,64.0,0.0
臺南市,東山區,東河,24.2,67.0,0.0
屏東縣,枋山鄉,加祿堂,23.6,83.0,0.0
臺北市,信義區,信義,14.9,82.0,0.5
連江縣,莒光鄉,東莒,10.2,83.0,1.0
屏東縣,枋山鄉,楓港,23.9,65.0,0.0
屏東縣,佳冬鄉,塭仔,22.8,87.0,0.0
臺南市,麻豆區,麻豆,24.9,70.0,0.0
屏東縣,三地門鄉,尾寮山,22.3,66.0,0.0
屏東縣,獅子鄉,獅子,23.8,69.0,0.0
桃園市,中壢區,中壢,13.3,93.0,8.0
澎湖縣,望安鄉,花嶼,17.4,82.0,0.0
臺中市,龍井區,龍井,20.2,63.0,-99
臺南市,北門區,蚵寮,19.8,81.0,0.0
高雄市,岡山區,岡山,27.1,51.0,0.0
彰化縣,秀水鄉,秀水,20.7,66.0,-99
桃園市,觀音區,觀音,12.6,93.0,1.5
南投縣,信義鄉,玉山風口,2.0,45.0,-99
高雄市,彌陀區,南寮,22.0,85.0,0.0
嘉義縣,新港鄉,新港,22.0,66.0,0.0
屏東縣,霧臺鄉,阿禮,20.2,73.0,-99
宜蘭縣,頭城鎮,石城,14.6,95.0,56.0
新北市,瑞芳區,五分山,11.1,99.0,23.0
臺南市,關廟區,關廟,24.9,74.0,0.0
雲林縣,口湖鄉,宜梧,20.1,74.0,0.0
新竹縣,新埔鎮,打鐵坑,14.3,83.0,5.0
臺中市,和平區,中坑,19.3,75.0,0.0
宜蘭縣,頭城鎮,頭城,17.1,80.0,0.0
宜蘭縣,南澳鄉,西帽山,11.1,100.0,24.5
臺南市,柳營區,柳營,25.2,62.0,0.0
花蓮縣,光復鄉,光復,18.6,84.0,4.0
臺東縣,達仁鄉,土阪,21.4,81.0,0.0
苗栗縣,銅鑼鄉,銅鑼,16.5,80.0,2.0
臺中市,外埔區,外埔,19.5,90.0,-99
臺中市,大雅區,大雅(中科園區),19.8,67.0,-99
臺中市,和平區,審馬陣A,9.3,40.0,0.0
臺東縣,綠島鄉,綠島,20.3,94.0,0.0
花蓮縣,秀林鄉,大禹嶺,13.0,39.0,0.0
彰化縣,福興鄉,福寶,17.0,82.0,0.0
高雄市,路竹區,路竹,27.5,63.0,-99
雲林縣,臺西鄉,臺西,20.9,65.0,0.0
嘉義縣,鹿草鄉,鹿草,24.3,59.0,0.0
高雄市,內門區,內門,29.2,56.0,0.0
新北市,三芝區,田寮,13.6,94.0,12.5
雲林縣,水林鄉,水林,20.9,69.0,0.0
新竹縣,湖口鄉,湖口,13.6,88.0,1.0
高雄市,茄萣區,茄萣,23.1,76.0,0.0
宜蘭縣,冬山鄉,冬山,17.0,93.0,0.0
宜蘭縣,礁溪鄉,礁溪,17.6,71.0,0.0
屏東縣,里港鄉,里港,27.8,66.0,0.0
屏東縣,長治鄉,長治,-99,-9900.0,0.0
臺南市,白河區,鹿寮,23.0,74.0,0.0
宜蘭縣,壯圍鄉,大福,17.3,79.0,0.0
臺東縣,達仁鄉,達仁林場,17.9,97.0,0.0
雲林縣,東勢鄉,雲林東勢,19.9,71.0,0.0
屏東縣,牡丹鄉,四林格山,19.2,94.0,0.0
屏東縣,牡丹鄉,牡丹,22.8,79.0,0.0
嘉義縣,布袋鎮,布袋,21.4,69.0,0.0
南投縣,竹山鎮,竹山,24.6,66.0,0.0
高雄市,田寮區,古亭坑,26.4,67.0,0.0
桃園市,龜山區,國一五楊N44K,12.5,85.0,8.0
新北市,坪林區,四堵,13.8,88.0,0.0
屏東縣,鹽埔鄉,鹽埔,28.3,73.0,-99
臺東縣,臺東市,知本(水試所),22.7,72.0,0.0
南投縣,中寮鄉,中寮,24.2,59.0,-99
臺南市,龍崎區,崎頂,25.1,75.0,0.0
苗栗縣,三義鄉,三義,15.3,91.0,2.0
新北市,永和區,永和,-99,-9900.0,-99
屏東縣,來義鄉,白鷺,25.3,72.0,0.0
屏東縣,滿州鄉,佳樂水,24.1,75.0,0.0
臺南市,白河區,白河,23.4,68.0,0.0
新竹縣,峨眉鄉,峨眉,16.6,73.0,5.5
新北市,蘆洲區,蘆洲,17.6,71.0,-99
屏東縣,萬巒鄉,來義,26.8,69.0,0.0
新北市,三重區,三重,16.3,76.0,3.5
高雄市,茄萣區,興達,25.1,67.0,0.0
新北市,板橋區,板橋,15.6,73.0,5.0
宜蘭縣,大同鄉,翠峰湖,7.8,100.0,0.0
花蓮縣,壽豐鄉,大坑,15.7,94.0,0.0
新竹縣,五峰鄉,雪霸,15.7,62.0,0.0
桃園市,大溪區,大溪,14.8,77.0,8.0
